epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,10575.1,0.27073,0.30235,0.94209,0.99783,0.97945,0.99233,0.98469,0.20346,0.25694,0.80964,0.000636762,0.000636762,0.000636762
58,10760.3,0.2789,0.31203,0.9412,0.99712,0.9863,0.99493,0.98443,0.22205,0.27213,0.81143,0.000622615,0.000622615,0.000622615
59,10946.2,0.26637,0.29414,0.93908,0.9938,0.9863,0.99486,0.98844,0.18589,0.24973,0.80063,0.000608468,0.000608468,0.000608468
60,11132.1,0.27034,0.30191,0.94201,0.99917,1,0.995,0.98942,0.17798,0.24187,0.7919,0.000594321,0.000594321,0.000594321
61,11317.9,0.26453,0.29999,0.93839,0.99795,0.99315,0.995,0.99126,0.18305,0.25311,0.79959,0.000580174,0.000580174,0.000580174
62,11503.8,0.27239,0.29082,0.9353,0.99859,1,0.995,0.99129,0.19352,0.23633,0.80103,0.000566027,0.000566027,0.000566027
63,11689.4,0.2633,0.29441,0.94336,0.99444,0.9863,0.99486,0.99085,0.17925,0.25426,0.79293,0.00055188,0.00055188,0.00055188
64,11875.4,0.26349,0.29472,0.93608,0.9967,0.97945,0.99377,0.98906,0.20688,0.2838,0.80779,0.000537733,0.000537733,0.000537733
65,12061.3,0.25436,0.28893,0.93471,0.99771,0.99315,0.995,0.989,0.20447,0.23704,0.81076,0.000523586,0.000523586,0.000523586
66,12247.4,0.25706,0.28219,0.9394,0.99717,1,0.995,0.99049,0.18538,0.23712,0.79606,0.000509438,0.000509438,0.000509438
67,12432.9,0.26141,0.28378,0.94013,1,0.98192,0.99486,0.98458,0.21925,0.28479,0.81611,0.000495291,0.000495291,0.000495291
68,12618.6,0.26362,0.28704,0.93464,0.99741,0.99315,0.995,0.98909,0.18903,0.24062,0.79796,0.000481144,0.000481144,0.000481144
69,12804.4,0.26467,0.27373,0.93164,0.99838,0.99315,0.995,0.9894,0.18499,0.22928,0.8048,0.000466997,0.000466997,0.000466997
70,12990.2,0.25708,0.29329,0.93725,1,0.99017,0.995,0.98784,0.20568,0.25553,0.8141,0.00045285,0.00045285,0.00045285
71,13175.9,0.24642,0.28009,0.93113,0.99277,0.94096,0.9869,0.98366,0.17456,0.3139,0.7923,0.000438703,0.000438703,0.000438703
72,13362.3,0.24782,0.28395,0.93059,0.99945,0.9863,0.99493,0.98937,0.17575,0.27514,0.78536,0.000424556,0.000424556,0.000424556
73,13548.8,0.24981,0.28312,0.93621,1,0.99822,0.995,0.98901,0.16678,0.22621,0.78358,0.000410409,0.000410409,0.000410409
